Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
BUMI	11:59:59	270	-2	-0.7	1583487952600	42	57789344	41	115073	36	ORDI_PREOPEN	Bumi Resources Tbk.	-	
PTRO	11:59:56	7400	275	3.9	1251453565000	45	1674964	44	64177	41	ORDI_PREOPEN	Petrosea Tbk.	-	
BBCA	11:59:59	7375	-75	-1.0	767082320000	47	1036622	46	32785	30	ORDI_PREOPEN	Bank Central Asia Tbk.	-	
RAJA	11:59:58	4940	140	2.9	537543120500	45	1076959	44	45412	43	ORDI_PREOPEN	Rukun Raharja Tbk.	-	
BBRI	11:59:56	3780	-20	-0.5	394233457000	58	1045611	57	19720	38	ORDI_PREOPEN	Bank Rakyat Indonesia (Persero) Tbk.	-	
DEWA	11:59:59	570	5	0.9	361374188500	45	6312284	44	33573	41	ORDI_PREOPEN	Darma Henwa Tbk	-	
CUAN	11:59:59	1885	-40	-2.1	349678037000	41	1820805	40	39674	39	ORDI_PREOPEN	Petrindo Jaya Kreasi Tbk.	-	
BUVA	11:59:58	1300	5	0.4	326754818000	40	2532824	39	44406	40	ORDI_PREOPEN	Bukit Uluwatu Villa Tbk.	-	
MINA	11:59:53	318	16	5.3	277794926000	48	8741031	47	70969	44	ORDI_PREOPEN	Sanurhasta Mitra Tbk.	-	
ANTM	11:59:59	4030	40	1.0	263357041000	53	651868	53	20161	54	ORDI_PREOPEN	Aneka Tambang Tbk.	-	
BMRI	11:59:58	5050	25	0.5	243494957500	64	483887	63	7556	54	ORDI_PREOPEN	Bank Mandiri (Persero) Tbk.	-	
PADI	11:59:58	131	15	12.9	241636725900	45	18013555	45	79297	46	ORDI_PREOPEN	Minna Padi Investama Sekuritas Tbk.	-	
RATU	11:59:59	6500	325	5.3	216909060000	45	326075	44	19951	42	ORDI_PREOPEN	Raharja Energi Cepu Tbk.	-	
TLKM	11:59:51	3520	-10	-0.3	212925937000	48	609272	48	10439	50	ORDI_PREOPEN	Telkom Indonesia (Persero) Tbk.	-	
INCO	11:59:59	7175	325	4.7	203252607500	47	282718	47	11689	51	ORDI_PREOPEN	Vale Indonesia Tbk.	-	
BRPT	11:59:59	2230	-50	-2.2	180127371000	39	797286	38	18943	34	ORDI_PREOPEN	Barito Pacific Tbk.	-	
ENRG	11:59:52	1325	90	7.3	174805190500	49	1335615	48	17630	50	ORDI_PREOPEN	Energi Mega Persada Tbk.	-	
UNTR	11:59:58	29650	1200	4.2	156999635000	57	53278	57	7922	57	ORDI_PREOPEN	United Tractors Tbk.	-	
BKSL	11:59:59	150	9	6.4	154850911000	58	10463128	57	22942	56	ORDI_PREOPEN	Sentul City Tbk.	-	
BIPI	11:59:59	171	0	0.0	153460125500	44	8924177	43	38586	43	ORDI_PREOPEN	Astrindo Nusantara Infrastruktur Tbk.	-	
INET	11:59:59	382	0	0.0	147364961200	43	3836383	42	33594	40	ORDI_PREOPEN	Sinergi Inti Andalan Prima Tbk.	-	
TINS	11:59:57	3930	120	3.1	133996575000	56	346839	56	10508	50	ORDI_PREOPEN	Timah Tbk.	-	
BRMS	11:59:59	1080	-5	-0.5	127304401500	33	1174256	33	13804	36	ORDI_PREOPEN	Bumi Resources Minerals Tbk.	-	
AADI	11:59:59	8725	125	1.5	126402325000	61	145418	61	7992	59	ORDI_PREOPEN	Adaro Andalan Indonesia Tbk.	-	
WIFI	11:59:59	2460	20	0.8	126238444000	43	506540	43	11192	42	ORDI_PREOPEN	Solusi Sinergi Digital Tbk.	-	
ADRO	11:59:59	2240	20	0.9	124418099000	56	559598	56	12525	53	ORDI_PREOPEN	Alamtri Resources Indonesia Tbk.	-	
VKTR	11:59:59	900	15	1.7	120459305000	48	1337885	47	17285	45	ORDI_PREOPEN	VKTR Teknologi Mobilitas Tbk.	-	
ARCI	11:59:52	1755	45	2.6	119495022500	53	680655	53	13709	50	ORDI_PREOPEN	Archi Indonesia Tbk.	-	
ASII	11:59:50	6825	75	1.1	114123270000	60	166870	59	6151	54	ORDI_PREOPEN	Astra International Tbk.	-	
CDIA	11:59:59	1180	-25	-2.1	111233517000	41	932187	41	17798	32	ORDI_PREOPEN	Chandra Daya Investasi Tbk.	-	
MDKA	11:59:59	3250	90	2.8	110514477000	51	341465	51	8055	56	ORDI_PREOPEN	Merdeka Copper Gold Tbk.	-	
MBMA	11:59:59	735	5	0.7	108263011500	55	1460302	55	17927	62	ORDI_PREOPEN	Merdeka Battery Materials Tbk.	-	
PANI	11:59:59	10750	-200	-1.8	106432420000	44	99787	44	7415	38	ORDI_PREOPEN	Pantai Indah Kapuk Dua Tbk.	-	
TRUE	11:59:54	262	4	1.6	91893559000	45	3458719	44	32705	42	ORDI_PREOPEN	Triniti Dinamik Tbk.	-	
NCKL	11:59:59	1475	65	4.6	91873092000	53	626992	52	7940	51	ORDI_PREOPEN	Trimegah Bangun Persada Tbk.	-	
MEDC	11:59:59	1585	5	0.3	85939040500	51	541573	51	7376	50	ORDI_PREOPEN	Medco Energi Internasional Tbk.	-	
BULL	11:59:59	432	-6	-1.4	84370871800	34	1941367	33	16775	32	ORDI_PREOPEN	Buana Lintas Lautan Tbk.	-	
BREN	11:59:59	8025	-275	-3.3	82950957500	37	101703	37	6504	33	ORDI_PREOPEN	Barito Renewables Energy Tbk.	-	
ZATA	11:59:57	102	8	8.5	79759685500	49	7870071	48	33904	50	ORDI_PREOPEN	Bersama Zatta Jaya Tbk.	-	
IMPC	11:59:58	2220	-70	-3.1	79579635000	39	350426	38	8637	39	ORDI_PREOPEN	Impack Pratama Industri Tbk.	-	
IRSX	11:59:57	620	50	8.8	78446882500	53	1267971	52	14155	49	ORDI_PREOPEN	Folago Global Nusantara Tbk.	Cum Right Issue 2026-03-05 [Tentative]	
CBDK	11:59:53	6450	150	2.4	76507787500	55	119298	55	5195	42	ORDI_PREOPEN	Bangun Kosambi Sukses Tbk.	-	
INDS	11:59:56	1730	310	21.8	75061883000	53	464005	52	21443	48	ORDI_PREOPEN	Indospring Tbk.	-	
EMAS	11:59:59	7200	100	1.4	68601802500	49	94890	48	5700	51	ORDI_PREOPEN	Merdeka Gold Resources Tbk.	-	
BBTN	11:59:59	1365	20	1.5	68452228000	56	503186	56	6878	54	ORDI_PREOPEN	Bank Tabungan Negara (Persero) Tbk.	-	
AMMN	11:59:58	7600	-200	-2.6	66863670000	42	87247	41	4514	35	ORDI_PREOPEN	Amman Mineral Internasional Tbk.	-	
PIPA	11:59:57	222	25	12.7	60440478800	41	2638121	40	23282	44	ORDI_PREOPEN	Multi Makmur Lemindo Tbk.	-	
BBNI	11:59:53	4480	0	0.0	58172938000	49	129760	49	3464	47	ORDI_PREOPEN	Bank Negara Indonesia (Persero) Tbk.	-	
UNVR	11:59:40	2300	40	1.8	57929658000	66	251668	65	7037	56	ORDI_PREOPEN	Unilever Indonesia Tbk.	-	
LEAD	11:59:59	177	3	1.7	57493837600	39	3194280	38	25569	42	ORDI_PREOPEN	Logindo Samudramakmur Tbk.	-	
KIOS	11:59:57	152	23	17.8	51367012000	55	3502217	55	26208	61	ORDI_PREOPEN	Kioson Komersial Indonesia Tbk.	-	
HUMI	11:59:44	232	-2	-0.9	51312370400	41	2178614	40	17258	38	ORDI_PREOPEN	Humpuss Maritim Internasional Tbk.	-	
RMKE	11:59:40	4240	-190	-4.3	49917138000	28	116398	27	3596	30	ORDI_PREOPEN	RMK Energy Tbk.	-	
NICL	11:59:52	1170	-15	-1.3	49055092000	73	413202	72	5037	48	ORDI_PREOPEN	PAM Mineral Tbk.	-	
EXCL	11:59:56	3040	30	1.0	48656261000	40	160848	39	5233	41	ORDI_PREOPEN	XLSMART Telecom Sejahtera Tbk.	-	
INDF	11:59:55	6775	75	1.1	47355707500	37	70118	37	4454	33	ORDI_PREOPEN	Indofood Sukses Makmur Tbk.	-	
ISAT	11:59:59	2210	0	0.0	47139201000	39	212175	39	5405	32	ORDI_PREOPEN	Indosat Tbk.	-	
OASA	11:59:59	416	-6	-1.4	46281837200	34	1111611	33	8135	34	ORDI_PREOPEN	Maharaksa Biru Energi Tbk.	-	
INDY	11:59:52	3650	10	0.3	46258878000	36	125891	35	4319	37	ORDI_PREOPEN	Indika Energy Tbk.	-	
ADMR	11:59:59	1935	0	0.0	44379631000	48	228313	48	6110	48	ORDI_PREOPEN	Alamtri Minerals Indonesia Tbk.	-	
SINI	11:55:01	13000	-750	-5.5	41722850000	0	31363	0	824	0	WATCH_CALL	Singaraja Putra Tbk.	-	
PACK	11:59:59	230	-12	-5.0	40217752800	35	1748332	35	13333	36	ACCEL	Abadi Nusantara Hijau Investama Tbk.	-	
LAPD	11:59:55	145	35	31.8	38264734100	52	2717253	51	15970	53	ORDI_PREOPEN	Leyand International Tbk.	-	
TRIN	11:59:33	1045	-70	-6.3	37178780500	37	351594	37	6832	34	ORDI_PREOPEN	Perintis Triniti Properti Tbk.	-	
HRTA	11:59:59	2570	40	1.6	34805663000	54	136746	53	3650	50	ORDI_PREOPEN	Hartadinata Abadi Tbk.	-	
PSKT	11:59:59	266	10	3.9	34652181200	45	1295490	45	7871	48	ORDI_PREOPEN	Red Planet Indonesia Tbk.	-	
GOTO	11:59:59	59	-1	-1.7	34190982100	52	5744480	51	5836	67	ORDI_PREOPEN	GoTo Gojek Tokopedia Tbk.	-	
SOCI	11:59:58	640	0	0.0	33681502500	40	518319	40	9316	36	ORDI_PREOPEN	Soechi Lines Tbk.	-	
TCPI	11:58:09	11550	25	0.2	33595800000	6	29265	6	1900	8	ORDI_PREOPEN	Transcoal Pacific Tbk.	-	
GTSI	11:59:59	308	-6	-1.9	33509915000	32	1081334	31	12070	30	ORDI_PREOPEN	GTS Internasional Tbk.	-	
FILM	11:59:12	6850	-150	-2.1	32094325000	46	46072	46	4236	42	ORDI_PREOPEN	MD Entertainment Tbk.	-	
PGAS	11:59:59	2230	0	0.0	30224580000	62	135026	62	4242	59	ORDI_PREOPEN	Perusahaan Gas Negara (Persero) Tbk.	-	
BNBR	11:55:01	101	-1	-1.0	29355943700	69	2709171	66	4806	26	WATCH_CALL	Bakrie & Brothers Tbk	-	
PSAB	11:59:52	550	10	1.9	29022375000	41	527961	41	3376	45	ORDI_PREOPEN	J Resources Asia Pasifik Tbk.	-	
INKP	11:59:59	9600	225	2.4	28827575000	57	30175	57	2312	62	ORDI_PREOPEN	Indah Kiat Pulp & Paper Tbk.	-	
COIN	11:59:59	1905	-20	-1.0	28696375500	36	149072	36	5228	36	ORDI_PREOPEN	Indokripto Koin Semesta Tbk.	-	
HRUM	11:59:59	1145	10	0.9	27250671500	39	236530	38	5035	52	ORDI_PREOPEN	Harum Energy Tbk.	-	
JPFA	11:59:57	2560	-20	-0.8	26599607000	43	104007	43	3929	48	ORDI_PREOPEN	Japfa Comfeed Indonesia Tbk.	-	
SMDR	11:59:58	398	14	3.6	26482708400	48	664539	48	4569	50	ORDI_PREOPEN	Samudera Indonesia  Tbk.	-	
EMTK	11:59:51	920	-5	-0.5	26165087000	35	284668	34	3385	40	ORDI_PREOPEN	Elang Mahkota Teknologi Tbk.	-	
DOOH	11:59:51	204	0	0.0	24698679300	61	1237381	61	8435	45	ORDI_PREOPEN	Era Media Sejahtera Tbk.	-	
SCMA	11:59:53	306	-2	-0.6	24281062000	42	795843	41	5876	45	ORDI_PREOPEN	Surya Citra Media Tbk.	-	
TPIA	11:59:48	7250	-75	-1.0	24198257500	30	33133	29	2114	26	ORDI_PREOPEN	Chandra Asri Pacific Tbk.	-	
RLCO	11:59:45	6000	-425	-6.6	24030877500	27	38925	27	6896	30	ORDI_PREOPEN	Abadi Lestari Indonesia Tbk.	-	
ERAA	11:59:59	424	2	0.5	23211963800	68	543151	68	3269	57	ORDI_PREOPEN	Erajaya Swasembada Tbk.	-	
SUPA	11:59:59	955	-5	-0.5	22153783000	35	232033	35	4184	30	ORDI_PREOPEN	Super Bank Indonesia Tbk.	-	
IATA	11:59:46	85	-4	-4.5	21020037100	31	2433810	30	7497	30	ORDI_PREOPEN	MNC Energy Investments Tbk.	-	
KLBF	11:59:26	1105	0	0.0	20712072500	53	187786	52	7119	62	ORDI_PREOPEN	Kalbe Farma Tbk.	-	
YELO	11:59:52	98	4	4.3	20441587200	53	2080408	52	10529	52	ORDI_PREOPEN	Yelooo Integra Datanet Tbk.	-	
MAPI	11:59:36	1305	-25	-1.9	20327488500	33	155746	32	4053	33	ORDI_PREOPEN	Mitra Adiperkasa Tbk.	-	
VISI	11:55:01	820	-90	-9.9	20272522000	17	207499	16	535	17	WATCH_CALL	Satu Visi Putra Tbk.	-	
SMGR	11:59:50	2870	40	1.4	18556827000	51	64846	50	2273	64	ORDI_PREOPEN	Semen Indonesia (Persero) Tbk.	-	
DILD	11:58:54	152	11	7.8	18533833500	53	1216790	52	7282	51	ORDI_PREOPEN	Intiland Development Tbk.	-	
PGEO	11:59:47	1205	15	1.3	17935358500	42	149274	41	2938	43	ORDI_PREOPEN	Pertamina Geothermal Energy Tbk.	-	
BRIS	11:59:59	2380	-20	-0.8	17436576000	43	73281	43	3675	38	ORDI_PREOPEN	Bank Syariah Indonesia Tbk.	-	
KIJA	11:59:59	224	-4	-1.8	16881123600	39	745350	38	3235	45	ORDI_PREOPEN	Kawasan Industri Jababeka Tbk.	-	
MSIN	11:59:22	440	-30	-6.4	16862287200	50	370620	49	4853	45	ORDI_PREOPEN	MNC Digital Entertainment Tbk.	-	
PTBA	11:59:52	2530	-20	-0.8	16787935000	32	65885	31	4086	28	ORDI_PREOPEN	Bukit Asam Tbk.	-	
DSSA	11:59:35	96000	-1000	-1.0	16633757500	40	1742	40	1138	40	ORDI_PREOPEN	Dian Swastatika Sentosa Tbk	-	
WIIM	11:59:04	1980	-50	-2.5	15964171500	41	80193	41	1512	35	ORDI_PREOPEN	Wismilak Inti Makmur Tbk.	-	
ELSA	11:59:59	755	-15	-1.9	15472273500	30	203534	30	3253	33	ORDI_PREOPEN	Elnusa Tbk.	-	
CMRY	11:59:51	5250	-175	-3.2	15417890000	28	28970	28	2077	32	ORDI_PREOPEN	Cisarua Mountain Dairy Tbk.	-	
MAPA	11:59:26	665	-10	-1.5	14366395000	35	214411	34	4117	26	ORDI_PREOPEN	Map Aktif Adiperkasa Tbk.	-	
TAPG	11:59:47	1480	-20	-1.3	13989666500	15	94393	14	2721	24	ORDI_PREOPEN	Triputra Agro Persada Tbk.	-	
AMRT	11:59:57	1905	-25	-1.3	13118005000	47	68517	46	3055	45	ORDI_PREOPEN	Sumber Alfaria Trijaya Tbk.	-	
SPRE	11:59:51	142	-15	-9.6	13001367800	31	892442	31	4787	49	ACCEL	Soraya Berjaya Indonesia Tbk.	-	
SRTG	11:59:26	1710	-20	-1.2	12809440500	45	75075	44	1126	36	ORDI_PREOPEN	Saratoga Investama Sedaya Tbk.	-	
RMKO	11:59:20	660	-20	-2.9	12785652000	41	191915	40	3596	35	ORDI_PREOPEN	Royaltama Mulia Kontraktorindo Tbk.	-	
KPIG	11:59:56	166	-9	-5.1	12509486400	31	739676	31	3402	37	ORDI_PREOPEN	MNC Tourism Indonesia Tbk.	-	
ICBP	11:59:52	8175	0	0.0	12189757500	59	14874	58	1467	60	ORDI_PREOPEN	Indofood CBP Sukses Makmur Tbk.	-	
DGWG	11:59:49	468	34	7.8	11517177600	51	250373	51	2046	52	ORDI_PREOPEN	Delta Giri Wacana Tbk.	-	
ELIT	11:59:59	274	6	2.2	10248646000	43	364527	43	4364	43	ORDI_PREOPEN	Data Sinergitama Jaya Tbk.	-	
ITMG	11:59:57	22150	-100	-0.4	10203075000	26	4603	26	900	32	ORDI_PREOPEN	Indo Tambangraya Megah Tbk.	-	
MORA	11:59:35	6800	-225	-3.2	10084125000	32	14742	32	1876	36	ORDI_PREOPEN	Mora Telematika Indonesia Tbk.	-	
CYBR	11:59:46	1520	-50	-3.2	9992652000	90	65250	89	3892	87	ORDI_PREOPEN	ITSEC Asia Tbk.	-	
ESSA	11:59:27	620	5	0.8	9892376000	40	159988	40	1720	41	ORDI_PREOPEN	ESSA Industries Indonesia Tbk.	-	
NRCA	11:59:56	845	-35	-4.0	9856868500	27	115598	27	2606	29	ORDI_PREOPEN	Nusa Raya Cipta Tbk.	-	
MARK	11:59:10	820	0	0.0	9819017500	23	120287	23	1080	13	ORDI_PREOPEN	Mark Dynamics Indonesia Tbk.	-	
BBRM	11:59:47	210	-2	-0.9	9786204000	36	457079	36	6161	38	ORDI_PREOPEN	Pelayaran Nasional Bina Buana Raya Tbk.	-	
BBYB	11:59:45	384	0	0.0	9088251800	35	236967	34	2447	36	ORDI_PREOPEN	Bank Neo Commerce Tbk.	-	
SDMU	11:59:57	117	10	9.3	9036765800	52	775327	52	5667	48	ORDI_PREOPEN	Sidomulyo Selaras Tbk.	-	
PPRE	11:59:03	206	-2	-1.0	8877725400	34	429837	34	3271	27	ORDI_PREOPEN	PP Presisi Tbk.	-	
KAQI	11:59:51	84	3	3.7	8635762300	59	1034039	58	9719	82	ORDI_PREOPEN	Jantra Grupo Indonesia Tbk.	-	
DSNG	11:59:56	1400	0	0.0	8603763000	42	61566	42	1020	47	ORDI_PREOPEN	Dharma Satya Nusantara Tbk.	-	
SSMS	11:57:01	1665	45	2.8	8272416000	39	50667	38	840	70	ORDI_PREOPEN	Sawit Sumbermas Sarana Tbk.	-	
LPKR	11:59:56	94	0	0.0	8055240300	37	866183	37	3431	53	ORDI_PREOPEN	Lippo Karawaci Tbk.	-	
LSIP	11:59:52	1170	-5	-0.4	7927309000	32	68094	31	1127	52	ORDI_PREOPEN	PP London Sumatra Indonesia Tbk.	-	
PNLF	11:59:31	280	-2	-0.7	7909324800	25	282490	24	1258	34	ORDI_PREOPEN	Panin Financial Tbk.	-	
TEBE	11:58:52	1450	-45	-3.0	7887730500	26	53961	26	2156	29	ORDI_PREOPEN	Dana Brata Luhur Tbk.	-	
HMSP	11:59:50	835	-5	-0.6	7578763500	37	90187	37	1637	43	ORDI_PREOPEN	H.M. Sampoerna Tbk.	-	
HILL	11:59:55	100	-9	-8.3	7539514700	42	746160	41	4388	46	ORDI_PREOPEN	Hillcon Tbk.	-	
CBRE	11:59:31	880	-10	-1.1	7501027000	31	85574	31	2253	35	ORDI_PREOPEN	Cakra Buana Resources Energi Tbk.	-	
SSIA	11:59:14	1500	-20	-1.3	7481653000	22	49651	21	1833	25	ORDI_PREOPEN	Surya Semesta Internusa Tbk.	-	
ESIP	11:59:59	83	5	6.4	7398938600	45	881603	45	7285	66	ORDI_PREOPEN	Sinergi Inti Plastindo Tbk.	-	
ELTY	11:55:01	46	4	9.5	7368744600	29	1601901	29	925	38	WATCH_CALL	Bakrieland Development Tbk.	-	
BLUE	11:57:22	6850	-50	-0.7	7287592500	58	10683	57	393	46	ORDI_PREOPEN	Berkah Prima Perkasa Tbk.	-	
MLPL	11:59:40	118	-1	-0.8	7210934800	40	599714	40	2349	37	ORDI_PREOPEN	Multipolar Tbk.	-	
REAL	11:59:53	62	-1	-1.6	7152360700	33	1121453	32	5359	41	ORDI_PREOPEN	Repower Asia Indonesia Tbk.	-	
TOBA	11:59:32	710	-10	-1.4	7034332000	32	98114	31	1751	33	ORDI_PREOPEN	TBS Energi Utama Tbk.	-	
TKIM	11:59:32	7325	75	1.0	6954800000	52	9515	52	604	40	ORDI_PREOPEN	Pabrik Kertas Tjiwi Kimia Tbk.	-	
TIRT	11:55:01	660	-5	-0.8	6841470000	29	101525	27	445	38	WATCH_CALL	Tirta Mahakam Resources Tbk	-	
GRPM	11:59:59	484	42	9.5	6806409400	59	141342	58	2153	53	ACCEL	Graha Prima Mentari Tbk.	-	
IMJS	11:59:15	214	10	4.9	6797601000	53	317037	52	2313	57	ORDI_PREOPEN	Indomobil Multi Jasa Tbk.	-	
GOLF	11:59:30	220	2	0.9	6731769400	35	303179	34	2248	41	ORDI_PREOPEN	Intra Golflink Resorts Tbk.	-	
MYOR	11:59:47	2340	-30	-1.3	6724130000	34	28666	34	1846	30	ORDI_PREOPEN	Mayora Indah Tbk.	-	
JSMR	11:59:47	3760	40	1.1	6635316000	64	17723	64	1166	50	ORDI_PREOPEN	Jasa Marga (Persero) Tbk.	-	
KETR	11:59:56	700	-5	-0.7	6606761500	35	93434	34	1566	32	ORDI_PREOPEN	Ketrosden Triasmitra Tbk.	-	
SOLA	11:59:33	138	8	6.2	6582337000	55	484687	55	3745	52	ORDI_PREOPEN	Xolare RCR Energy Tbk.	-	
NSSS	11:59:36	865	-30	-3.4	6508460000	34	74941	34	2165	40	ORDI_PREOPEN	Nusantara Sawit Sejahtera Tbk.	-	
FPNI	11:57:39	675	-35	-4.9	6466557000	34	95227	34	2398	27	ORDI_PREOPEN	Lotte Chemical Titan Tbk.	-	
ESTI	11:58:57	202	11	5.8	6458131900	55	315564	55	4767	52	ORDI_PREOPEN	Ever Shine Tex Tbk.	-	
AGII	11:56:51	2190	-50	-2.2	6365586000	32	28645	32	1488	46	ORDI_PREOPEN	Samator Indo Gas Tbk.	-	
PART	11:58:50	136	4	3.0	6171320900	62	468084	62	2260	50	ORDI_PREOPEN	Cipta Perdana Lancar Tbk.	-	
TUGU	11:59:15	1345	5	0.4	6129856500	53	45898	53	535	40	ORDI_PREOPEN	Asuransi Tugu Pratama Indonesia Tbk.	-	
FITT	11:59:59	805	80	11.0	5932399000	59	76941	58	2396	58	ORDI_PREOPEN	Hotel Fitra International Tbk.	-	
SMRA	11:58:15	396	0	0.0	5898914000	33	148843	32	929	50	ORDI_PREOPEN	Summarecon Agung Tbk.	-	
ARKO	11:50:02	7600	-350	-4.4	5817797500	28	7528	27	1006	34	ORDI_PREOPEN	Arkora Hydro Tbk.	-	
FUTR	11:59:59	396	-4	-1.0	5813149400	37	146365	36	1872	34	ORDI_PREOPEN	Futura Energi Global Tbk.	-	
PWON	11:59:56	364	0	0.0	5768894600	51	158558	51	2144	51	ORDI_PREOPEN	Pakuwon Jati Tbk.	-	
BSML	11:58:15	320	0	0.0	5766336200	69	177271	68	1118	48	ORDI_PREOPEN	Bintang Samudera Mandiri Lines Tbk.	-	
BTPS	11:57:34	1220	-5	-0.4	5535338000	42	45270	41	1196	40	ORDI_PREOPEN	Bank BTPN Syariah Tbk.	-	
ASLI	11:59:17	424	-8	-1.9	5422506000	64	127306	64	2270	39	ORDI_PREOPEN	Asri Karya Lestari Tbk.	-	
AKRA	11:59:55	1290	-5	-0.4	5410187500	46	41680	45	2081	49	ORDI_PREOPEN	AKR Corporindo Tbk.	-	
DATA	11:59:29	3770	30	0.8	5400566000	29	14455	28	927	28	ORDI_PREOPEN	Remala Abadi Tbk.	-	
JGLE	11:55:01	39	0	0.0	5346831600	49	1309820	47	2216	40	WATCH_CALL	Graha Andrasentra Propertindo Tbk.	-	
BFIN	11:59:50	705	-5	-0.7	5325809500	83	75083	83	733	77	ORDI_PREOPEN	BFI Finance  Indonesia Tbk.	-	
HEAL	11:59:52	1340	-30	-2.2	5298672000	43	39015	43	1471	40	ORDI_PREOPEN	Medikaloka Hermina Tbk.	-	
BUKA	11:58:44	150	0	0.0	5264184200	40	350529	40	2865	76	ORDI_PREOPEN	Bukalapak.com Tbk.	-	
PADA	11:56:40	224	-2	-0.9	5238517800	39	232302	38	2708	40	ORDI_PREOPEN	Personel Alih Daya Tbk.	-	
JARR	11:59:40	2530	-70	-2.7	5160014000	23	20134	23	1072	26	ORDI_PREOPEN	Jhonlin Agro Raya Tbk.	-	
WIRG	11:59:20	83	-2	-2.4	5150167700	25	617530	24	1826	37	ORDI_PREOPEN	WIR ASIA Tbk.	-	
ISAP	11:59:49	38	3	8.6	5139591800	67	1384124	66	3086	69	ACCEL	Isra Presisi Indonesia Tbk.	-	
SIMP	11:59:55	580	0	0.0	5009465500	37	86822	36	953	40	ORDI_PREOPEN	Salim Ivomas Pratama Tbk.	-	
CSMI	11:59:28	167	43	34.7	4898651900	59	307636	58	3887	54	ORDI_PREOPEN	Cipta Selera Murni Tbk.	-	
RELF	11:59:47	44	0	0.0	4885097200	44	1087763	44	1106	53	ACCEL	Graha Mitra Asia Tbk.	-	
DAAZ	11:53:56	3470	20	0.6	4766045000	31	13666	30	872	35	ORDI_PREOPEN	Daaz Bara Lestari Tbk.	-	
BELL	11:55:01	134	4	3.1	4755921400	54	370211	52	1914	50	WATCH_CALL	Trisula Textile Industries Tbk.	-	
DKFT	11:58:55	870	5	0.6	4723847000	38	53949	37	875	53	ORDI_PREOPEN	Central Omega Resources Tbk.	-	
NPGF	11:59:46	74	-1	-1.3	4608450600	28	632887	28	2273	33	ORDI_PREOPEN	Nusa Palapa Gemilang Tbk.	-	
SGER	11:59:16	510	14	2.8	4584009300	41	90850	40	1418	49	ORDI_PREOPEN	Sumber Global Energy Tbk.	-	
MSTI	11:59:59	1410	65	4.8	4581751500	63	32643	63	841	58	ORDI_PREOPEN	Mastersystem Infotama Tbk.	-	
RISE	11:59:57	3650	-140	-3.7	4544667000	26	12296	25	925	26	ORDI_PREOPEN	Jaya Sukses Makmur Sentosa Tbk.	-	
GRPM-W	11:59:44	222	-2	-0.9	4501430800	41	200299	41	2350	44	WARI	Waran GRPM  Graha Prima Mentari Tbk.	End Waran 2026-07-10	
BIKE	11:44:49	462	-6	-1.3	4439469000	90	96213	90	311	56	ORDI_PREOPEN	Sepeda Bersama Indonesia Tbk.	-	
ERAL	11:59:59	386	-10	-2.5	4379928800	29	112296	28	1282	27	ORDI_PREOPEN	Sinar Eka Selaras Tbk.	-	
FUJI	11:47:24	498	16	3.3	4242904800	96	89763	96	237	51	ORDI_PREOPEN	Fuji Finance Indonesia Tbk.	-	
IFSH	11:57:44	2080	105	5.3	4238164000	43	19284	42	2841	45	ORDI_PREOPEN	Ifishdeco Tbk.	-	
BWPT	11:59:07	133	0	0.0	4201827700	43	315448	42	1343	40	ORDI_PREOPEN	Eagle High Plantations Tbk.	-	
BRRC	11:59:53	97	3	3.2	4189934300	45	426387	45	3560	58	ORDI_PREOPEN	Raja Roti Cemerlang Tbk.	-	
AHAP	11:59:29	134	-2	-1.5	4187795900	40	306454	40	2195	41	ORDI_PREOPEN	Asuransi Harta Aman Pratama Tbk.	-	
CTRA	11:59:47	835	-10	-1.2	4107913500	60	49028	60	1462	56	ORDI_PREOPEN	Ciputra Development Tbk.	-	
MBSS	11:59:32	1830	-65	-3.4	4091340000	22	22104	22	1248	18	ORDI_PREOPEN	Mitrabahtera Segara Sejati Tbk.	-	
BUMIDRCM6A	11:54:46	56	-1	-1.8	4038416100	39	703582	38	191	43	S_WARI	SW Call 1:1 x360 BUMI 5 Jun 26 RHB (DR)	-	
TOWR	11:59:10	530	5	1.0	4035433500	32	76634	31	1215	36	ORDI_PREOPEN	Sarana Menara Nusantara Tbk.	-	
LAJU	11:59:14	93	-2	-2.1	3964075300	36	420351	35	2780	41	ORDI_PREOPEN	Jasa Berdikari Logistics Tbk.	-	
WEHA	11:59:15	150	-2	-1.3	3890914900	45	256751	44	3332	48	ORDI_PREOPEN	WEHA Transportasi Indonesia Tbk.	-	
CPRO	11:59:53	66	0	0.0	3867095800	35	592563	34	1788	44	ORDI_PREOPEN	Central Proteina Prima Tbk.	-	
KRAS	11:59:46	354	2	0.6	3862492600	55	108637	54	1051	48	ORDI_PREOPEN	Krakatau Steel (Persero) Tbk.	-	
MIDI	11:59:52	338	6	1.8	3861533200	52	114105	52	1312	35	ORDI_PREOPEN	Midi Utama Indonesia Tbk.	-	
MMLP	11:59:35	492	-2	-0.4	3829126000	90	77399	90	278	52	ORDI_PREOPEN	Mega Manunggal Property Tbk.	-	
BBKP	11:59:51	74	-1	-1.3	3780661400	31	510991	30	1136	40	ORDI_PREOPEN	Bank KB Indonesia Tbk.	-	
